cluster_id,cluster_name,centroid_summary,guided_start_description,medoid_repo_name,medoid_agent_name,size,repos,sample_agents
1,Research Coordinator,"These prompts define agents that plan, gather, evaluate, synthesize, and finalize evidence-based research or analysis workflows, often coordinating multi-step information retrieval and reporting.","Use this agent to run a structured research process that searches for information, identifies gaps, and produces a reliable final report or analysis.",LeapLabTHU_cooragent,RESEARCHER,109,"FinStep-AI_ContestTrade, InternScience, LeapLabTHU_cooragent, NL2Code_CodeR, SalesforceAIResearch_enterprise-deep-research, SamuelSchmidgall_AgentLaboratory, SkyworkAI_DeepResearchAgent, assafelovic_gpt-researcher, autogluon_autogluon-assistant, dair-ai_m2-deep-research, danau5tin_multi-agent-coding-sytem, divar-ir_ai-doc-gen, facebookresearch_DocAgent, jmiao24_Paper2Agent, omni-georgio_deep_research-, qx-labs_agents-deep-research, showlab_MovieAgent","RESEARCH PLAN GENERATOR - Task Planning, RESEARCH RESULT WRITER - Result Compilation & Synthesis, RESEARCH TOOL SELECTOR - Tool Selection & Execution, CODER_PROMPT_AIDER - Aider-based Code Implementation Agent, CODER_PROMPT_OPENHANDS - OpenHands-based Code Implementation Agent"
4,Trading Analysts,"Agents in this cluster analyze market, chart, sentiment, and risk signals to recommend or debate concrete trading actions such as buy, sell, hold, long, or short.",Use this role when you want an AI trading specialist to evaluate financial or prediction market data and produce a clear trade recommendation or risk-based viewpoint.,TauricResearch_TradingAgents,TRADER - Final Investment Decision Making,52,"FinStep-AI_ContestTrade, HKUDS_AI-Trader, Polymarket_agents, TauricResearch_TradingAgents, Y-Research-SBU_QuantAgent, moondevonyt_moon-dev-ai-agents","DATA ANALYSIS FILTER DOCUMENT - Document Selection & Filtering, DATA ANALYSIS MERGE SUMMARY - Multi-Document Summary Consolidation, DATA ANALYSIS SUMMARY DOCUMENT - Financial Document Summarization, RESEARCH INVESTMENT ANALYZER - Investment Opportunity Analysis, RESEARCH INVESTMENT OUTPUT FORMAT - Signal Submission Structure"
9,Workflow Orchestrators,"Prompts in this cluster define structured, phase-aware workflow roles that plan, execute, summarize, review, or validate work using explicit inputs, constraints, and output formats.","Use this role when you want an agent to operate as a step in a larger pipeline, with clear phase context, prescribed tasks, and standardized deliverables.",multimodal-art-projection_AutoKaggle,DEVELOPER - MAIN PROMPT,45,multimodal-art-projection_AutoKaggle,"BASE - AGENT ROLE TEMPLATE, BASE - DATA PREVIEW, BASE - EXPERIENCE WITH SUGGESTION, BASE - EXTRACT TOOLS, BASE - FEATURE INFO"
8,Data Science,"Agents in this cluster perform or coordinate practical data science workflows such as data loading, wrangling, feature engineering, visualization planning, and machine learning code generation.","Use this role when you want an AI teammate to help route, prepare, analyze, visualize, or model tabular data in an end-to-end data science workflow.",business-science_ai-data-science-team,DATA_WRANGLING_AGENT - Create Data Wrangler Code,27,"Polymarket_agents, business-science_ai-data-science-team","ROUTING - Question Router, DATA_CLEANING_AGENT - Create Data Cleaner Code, DATA_CLEANING_AGENT - Fix Data Cleaner Code, DATA_CLEANING_AGENT - Recommend Data Cleaning Steps, DATA_LOADER_AGENT - Run React Tool-Calling Agent"
3,Product Search,"Agents in this cluster help users find products by searching a product database, judging result relevance, and responding clearly when matches are weak or unavailable.","Use this assistant to search for products, evaluate which results best match a shopper’s request, and explain next steps when no exact items are found.",Deluxer_oliva,AGENT_PROMPT_BY_SUPERLINKED - Product Search Agent (Superlinked Version),9,Deluxer_oliva,"AGENT_PROMPT_BY_JSON - Product Search Agent (JSON Version), AGENT_PROMPT_BY_SUPERLINKED - Product Search Agent (Superlinked Version), AMAZON_SEARCH_PROMPT - Product Search Assistant, ASSISTANT_SYSTEM - Main AI Assistant Role, BLOG_SEARCH_PROMPT - Blog Search Assistant"
2,Utility Assistants,"This cluster contains narrowly scoped helper agents that perform specific support tasks such as answering from a knowledge base, checking compliance, summarizing or generating short content, and scoring simple inputs.","Use this role when you want a lightweight task-specific assistant for a single workflow step like Q&A, review, rating, or short-form content generation.",moondevonyt_moon-dev-ai-agents,MILLION_AGENT,9,moondevonyt_moon-dev-ai-agents,"BACKTEST_RUNNER, CHAT_AGENT, CLIPS_AGENT, CODE_RUNNER_AGENT, COMPLIANCE_AGENT"
0,Search Helpers,"Agents in this cluster perform narrow retrieval-support tasks such as generating search tags, filtering whether deeper analysis is needed, querying research sources, and producing short relevance summaries or questions from user input.","Use this assistant when you want help turning a request into search terms, lightweight retrieval decisions, concise match explanations, or short queryable outputs for research and discovery workflows.",zamalali_DeepGit,CHAT.PY - GitHub Search Optimization Expert,8,"Polymarket_agents, SamuelSchmidgall_AgentLaboratory, moondevonyt_moon-dev-ai-agents, zamalali_DeepGit","MULTIQUERY - Multi-Perspective Question Generator, ARXIV SEARCH TOOL - Command Docstring, CHAT_QUESTION_GENERATOR, CHAT.PY - GitHub Search Optimization Expert, DECISION.PY - Minimal Resource-Efficient Filtering Agent"
6,Rails Builder,"Agents in this cluster help users design, build, test, and refine Ruby on Rails applications with an MVP-first, small-safe-diff workflow and strong product guidance.","Use this assistant to brainstorm features or incrementally implement, test, and polish a Rails app with clear step-by-step progress and cautious code changes.",KodyKendall_LlamaBot,RAILS_AGENT_PROMPT (Rails Engineer/Product Advisor),5,KodyKendall_LlamaBot,"RAILS_AGENT_PROMPT (Rails Engineer/Product Advisor), RAILS_AI_BUILDER_AGENT_PROMPT (LangGraph Agent Architect), RAILS_FRONTEND_STARTER_AGENT_PROMPT (Front-End Designer/Product Advisor), RAILS_QA_SOFTWARE_ENGINEER_PROMPT (QA/Test Builder), USER_FEEDBACK_AGENT_PROMPT (Feedback/Requirements Brainstorming Partner)"
7,Field Extraction,These agents parse structured trading text and return only a specific requested numeric field such as price or size.,Use this helper when you need to extract a single exact value from a formatted market or trading string.,Polymarket_agents,FORMAT SIZE EXTRACTION - Size Parsing Helper,2,Polymarket_agents,"FORMAT PRICE EXTRACTION - Price Parsing Helper, FORMAT SIZE EXTRACTION - Size Parsing Helper"
5,Hardware Checks,Agents in this cluster identify hardware constraints from user requests and assess whether a project's dependencies are compatible with a target hardware environment.,"Use this agent to detect device or resource limits like CPU-only, low-memory, or mobile targets and verify if a dependency stack can run under those hardware constraints.",zamalali_DeepGit,DEPENDENCY_ANALYSIS.PY - Hardware Compatibility Checker,2,zamalali_DeepGit,"DEPENDENCY_ANALYSIS.PY - Hardware Compatibility Checker, PARSE_HARDWARE.PY - Hardware Constraint Extractor"
