repo_name,agent_name,role_description,context,tool_definitions,input,actions,security_disclaimer,constraints_restrictions,task_description_workflow,in_context_examples,output,external_information,placeholder,extra_codes
Deluxer_oliva,ASSISTANT_SYSTEM - Main AI Assistant Role,1,0,0,0,1,0,1,0,0,0,0,0,
Deluxer_oliva,GRADE_DOCUMENTS_PROMPT - Document Relevance Grader (Primary Version),1,0,0,1,0,0,1,1,0,1,0,1,
Deluxer_oliva,GRADE_DOCUMENTS_PROMPT_OPT_2 - Document Relevance Grader (Alternative Version),1,0,0,1,0,0,0,1,1,1,0,1,
Deluxer_oliva,BLOG_SEARCH_PROMPT - Blog Search Assistant,1,0,1,0,1,0,0,0,0,0,0,0,
Deluxer_oliva,AMAZON_SEARCH_PROMPT - Product Search Assistant,1,0,1,0,1,0,1,0,0,0,0,0,
Deluxer_oliva,NO_RESULTS_PROMPT - No Results Response Generator,1,0,0,1,0,0,0,1,0,1,0,1,
Deluxer_oliva,AGENT_PROMPT_BY_SUPERLINKED - Product Search Agent (Superlinked Version),1,0,1,0,1,0,0,0,0,0,0,0,
Deluxer_oliva,AGENT_PROMPT_BY_JSON - Product Search Agent (JSON Version),1,0,1,0,1,0,0,0,0,0,0,0,
Deluxer_oliva,SUPERVISOR_SYSTEM_PROMPT - Supervisor Agent (Dynamic Generation),1,1,0,0,1,0,1,1,0,1,0,1,
FinStep-AI_ContestTrade,RESEARCH PLAN GENERATOR - Task Planning,0,1,1,1,1,0,1,1,0,1,1,1,
FinStep-AI_ContestTrade,RESEARCH TOOL SELECTOR - Tool Selection & Execution,0,1,1,1,1,0,1,1,0,1,1,1,"tool_development_guidance: Explicit instructions and criteria for proposing new tool development if current tools are insufficient, including examples of possible new tools."
FinStep-AI_ContestTrade,RESEARCH RESULT WRITER - Result Compilation & Synthesis,0,1,1,1,1,0,1,1,0,1,1,1,
FinStep-AI_ContestTrade,DATA ANALYSIS SUMMARY DOCUMENT - Financial Document Summarization,0,1,0,1,1,0,1,1,0,1,1,1,
FinStep-AI_ContestTrade,DATA ANALYSIS FILTER DOCUMENT - Document Selection & Filtering,0,1,0,1,1,0,1,1,0,1,1,1,
FinStep-AI_ContestTrade,DATA ANALYSIS MERGE SUMMARY - Multi-Document Summary Consolidation,0,1,0,1,1,0,1,1,0,1,1,1,
FinStep-AI_ContestTrade,RESEARCH INVESTMENT ANALYZER - Investment Opportunity Analysis,1,0,0,0,1,0,1,1,0,0,1,0,
FinStep-AI_ContestTrade,SYMBOL RETRIEVAL FORMAT - Stock/Asset Symbol Structure,0,0,0,0,0,0,0,0,0,1,0,1,
FinStep-AI_ContestTrade,RESEARCH INVESTMENT OUTPUT FORMAT - Signal Submission Structure,0,0,0,0,0,0,0,0,0,1,0,1,
HKUDS_AI-Trader,GENERAL STOCK TRADING AGENT - US Market (NASDAQ-100),1,0,0,1,1,0,1,1,0,1,0,1,
HKUDS_AI-Trader,CRYPTOCURRENCY TRADING AGENT - Digital Assets (Multi-Crypto Portfolio),1,0,0,1,1,0,1,1,0,1,0,1,
InternScience,CODER_PROMPT_AIDER - Aider-based Code Implementation Agent,1,0,0,1,1,0,1,1,1,0,0,1,
InternScience,CODER_PROMPT_OPENHANDS - OpenHands-based Code Implementation Agent,1,0,0,1,1,0,1,1,0,0,0,1,
