full_name,stars,forks,language,description,topics,updated_at,license,html_url,matched_queries_count,llm_analysis,is_relevant,reason
infiniflow/ragflow,69534,7542,Python,RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs,"agent, agentic, agentic-ai, agentic-workflow, ai, ai-search, deep-learning, deep-research, deepseek, deepseek-r1, document-parser, document-understanding, graphrag, llm, mcp, multi-agent, ollama, openai, rag, retrieval-augmented-generation",2025-12-11T18:36:10Z,Apache-2.0,https://github.com/infiniflow/ragflow,3,"{'is_relevant': True, 'reason': 'RAGFlow specifically implements a Retrieval-Augmented Generation engine that includes agent capabilities, indicating a focus on multi-agent interactions, and it leverages LLMs within this context.'}",True,"RAGFlow specifically implements a Retrieval-Augmented Generation engine that includes agent capabilities, indicating a focus on multi-agent interactions, and it leverages LLMs within this context."
zhayujie/chatgpt-on-wechat,40047,9552,Python,基于大模型搭建的聊天机器人，同时支持 微信公众号、企业微信应用、飞书、钉钉 等接入，可选择ChatGPT/Claude/DeepSeek/文心一言/讯飞星火/通义千问/ Gemini/GLM-4/Kimi/LinkAI，能处理文本、语音和图片，访问操作系统和互联网，支持基于自有知识库进行定制企业智能客服。,"ai, ai-agent, chatgpt, claude-4, deepseek, dingtalk, feishu-bot, gemini, gpt-4, kimi, linkai, llm, mcp, multi-agent, openai, python3, qwen, rag, wechat, wechat-bot",2025-12-11T14:55:39Z,MIT,https://github.com/zhayujie/chatgpt-on-wechat,3,"{'is_relevant': True, 'reason': 'The repository implements a chatbot that supports multiple communication platforms and utilizes various large language models (LLMs), indicating it involves multiple interacting agents in its architecture.'}",True,"The repository implements a chatbot that supports multiple communication platforms and utilizes various large language models (LLMs), indicating it involves multiple interacting agents in its architecture."
danny-avila/LibreChat,32342,6383,TypeScript,"Enhanced ChatGPT Clone: Features Agents, MCP, DeepSeek, Anthropic, AWS, OpenAI, Responses API, Azure, Groq, o1, GPT-5, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message se","ai, anthropic, artifacts, aws, azure, chatgpt, chatgpt-clone, claude, clone, deepseek, gemini, google, gpt-5, librechat, mcp, o1, openai, responses-api, vision, webui",2025-12-11T18:43:24Z,MIT,https://github.com/danny-avila/LibreChat,2,"{'is_relevant': True, 'reason': 'The repository implements a multi-agent system with various features such as Agent functionality and AI model switching, indicating it serves a specific application involving multiple interacting agents.'}",True,"The repository implements a multi-agent system with various features such as Agent functionality and AI model switching, indicating it serves a specific application involving multiple interacting agents."
wshobson/agents,22516,2514,Python,Intelligent automation and multi-agent orchestration for Claude Code,"agents, ai-agents, anthropic, anthropic-claude, automation, claude, claude-code, claude-code-cli, claude-code-commands, claude-code-plugin, claude-code-plugins, claude-code-subagents, claude-skills, claudecode, claudecode-config, claudecode-subagents, orchestration, sub-agents, subagents, workflows",2025-12-11T18:28:12Z,MIT,https://github.com/wshobson/agents,6,"{'is_relevant': True, 'reason': 'The repository focuses on intelligent automation and orchestration specifically for multi-agent interactions in the context of Claude Code, indicating it implements a Multi-Agent System leveraging LLMs.'}",True,"The repository focuses on intelligent automation and orchestration specifically for multi-agent interactions in the context of Claude Code, indicating it implements a Multi-Agent System leveraging LLMs."
1Panel-dev/MaxKB,19531,2542,Python,🔥 MaxKB is an open-source platform for building enterprise-grade agents.  强大易用的开源企业级智能体平台。,"agent, agentic-ai, chatbot, deepseek-r1, knowledgebase, langchain, llama3, llm, maxkb, mcp-server, ollama, pgvector, qwen3, rag",2025-12-11T12:34:00Z,GPL-3.0,https://github.com/1Panel-dev/MaxKB,3,"{'is_relevant': True, 'reason': 'The repository MaxKB implements an open-source platform for building enterprise-grade agents, which suggests it is focused on more than just single-agent usage and likely involves multiple interacting agents in a specific application context.'}",True,"The repository MaxKB implements an open-source platform for building enterprise-grade agents, which suggests it is focused on more than just single-agent usage and likely involves multiple interacting agents in a specific application context."
shareAI-lab/analysis_claude_code,11585,3016,JavaScript,本仓库包含对 Claude Code v1.0.33 进行逆向工程的完整研究和分析资料。包括对混淆源代码的深度技术分析、系统架构文档，以及重构 Claude      Code agent 系统的实现蓝图。主要发现包括实时 Steering 机制、多 Agent      架构、智能上下文管理和工具执行管道。该项目为理解现代 AI agent 系统设计和实现提供技术参考。,,2025-12-11T14:31:39Z,Apache-2.0,https://github.com/shareAI-lab/analysis_claude_code,3,"{'is_relevant': True, 'reason': 'The repository contains a comprehensive study and analysis of a multi-agent system involving multiple interacting agents, specifically focusing on real-time steering mechanisms and intelligent context management, indicating its relevance to Multi-Agent Systems (MAS) leveraging LLMs.'}",True,"The repository contains a comprehensive study and analysis of a multi-agent system involving multiple interacting agents, specifically focusing on real-time steering mechanisms and intelligent context management, indicating its relevance to Multi-Agent Systems (MAS) leveraging LLMs."
nanobrowser/nanobrowser,11541,1165,TypeScript,Open-Source Chrome extension for AI-powered web automation. Run multi-agent workflows using your own LLM API key. Alternative to OpenAI Operator.,"agent, ai, ai-agents, ai-tools, automation, browser, browser-automation, browser-use, chrome-extension, comet, dia, extension, manus, mariner, multi-agent, n8n, nano, opensource, playwright, web-automation",2025-12-11T13:11:26Z,Apache-2.0,https://github.com/nanobrowser/nanobrowser,6,"{'is_relevant': True, 'reason': 'The repository implements a specific application (AI-powered web automation) involving multiple interacting agents, which aligns with the definition of a Multi-Agent System (MAS).'}",True,"The repository implements a specific application (AI-powered web automation) involving multiple interacting agents, which aligns with the definition of a Multi-Agent System (MAS)."
NoFxAiOS/nofx,8782,2266,Go,"NOFX: Defining the Next-Generation AI Trading Operating System. A multi-exchange Al trading platform(Binance/Hyperliquid/Aster) with multi-Ai competition(deepseek/qwen/gemini/claude)self-evolution, an","agentic-ai, agentictrading, ai, ai-trading, aitradingos, arbitrage, aster, binance, bitcoin, crypto, exchange, hyperliquid, nof1ai, perp-dex, trading",2025-12-11T18:19:38Z,AGPL-3.0,https://github.com/NoFxAiOS/nofx,2,"{'is_relevant': True, 'reason': 'The repository implements a multi-exchange AI trading platform that likely involves multiple interacting agents competing in trading scenarios, fulfilling the criteria for relevance.'}",True,"The repository implements a multi-exchange AI trading platform that likely involves multiple interacting agents competing in trading scenarios, fulfilling the criteria for relevance."
InternLM/MindSearch,6706,671,JavaScript,🔍 An LLM-based Multi-agent Framework of Web Search Engine (like Perplexity.ai Pro and SearchGPT),"ai-search-engine, gpt, llm, llms, multi-agent-systems, perplexity-ai, search, searchgpt, transformer, web-search",2025-12-11T09:25:06Z,Apache-2.0,https://github.com/InternLM/MindSearch,3,"{'is_relevant': True, 'reason': 'The repository implements a multi-agent framework specifically for web search using LLMs, as indicated by its description and topics.'}",True,"The repository implements a multi-agent framework specifically for web search using LLMs, as indicated by its description and topics."
0x4m4/hexstrike-ai,4988,1152,Python,"HexStrike AI MCP Agents is an advanced MCP server that lets AI agents (Claude, GPT, Copilot, etc.) autonomously run 150+ cybersecurity tools for automated pentesting, vulnerability discovery, bug boun","0x4m4, ai, ai-agents, ai-cybersecurity, ai-hacking, ai-penetration-testing, ai-security-tool, artificial-intelligence, ctf-tools, generative-ai, hexstrike, kali-linux, kali-tools, llm, llm-integration, mcp, mcp-server, mcp-tools, pentesting, pentesting-tools",2025-12-11T18:38:54Z,,https://github.com/0x4m4/hexstrike-ai,6,"{'is_relevant': True, 'reason': 'The repository implements an advanced MCP server that allows multiple AI agents to interact and autonomously run numerous cybersecurity tools, which aligns with the criteria for a specific application involving multiple interacting agents in a multi-agent system.'}",True,"The repository implements an advanced MCP server that allows multiple AI agents to interact and autonomously run numerous cybersecurity tools, which aligns with the criteria for a specific application involving multiple interacting agents in a multi-agent system."
